Property Name,Reported,Tax Parcel,Largest Property Type,Building Address,Zip,Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft²),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link,Property Owner Name,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
Road Scholar,Reported,304511000,Office,11 Avenue de Lafayette,2111,60000.0,,97.0,,Office,1892.0,102.6,1.7,1463792.8,0.9993,0.7,,,,,,3.67,Not Available,Tax Parcel 304511000 ,,,102600.0,submitted,
52 Roland Street,Voluntary,202125000,Office,52 Roland Street,2129,25690.0,,77.0,2020,Office,1910.0,83.8,3.3,1362553,0.4928,0.572,,,,,,1.42,Not Available,6 electric meters and 1 gas meter,,,83800.0,submitted,
South Bay Expansion: South Bay Expansion,Reported,703498010,Strip Mall,25 District Avenue,2125,149416.0,,,,Strip Mall,2017.0,1018,6.8,15685054.2,0.6928,0.372,,,,,,0,Not Available,"5/13/20: This report includes the new add-ons for South Bay Center. This property represents half of the new addition (Buildings A and B). The other 2 buildings, (Buildings C and D) are being reported by the Pritzker Group, who owns the Andi Apartments. This property includes the following service addresses: 
- 21-39 District Ave
- 20-36 District Ave

Water is shared with the main South Bay property and is recorded on that property's submission. 

Total Acreage:	5
Building SF:	149,416
Buildings:	2
Pavement SF:	0
Total Parking Spaces:	645",,,1018000.0,submitted,
BC Margot Connell Recreation Center,Reported,2102473001,Fitness Center/Health Club/Gym,201 St Thomas More Rd,2467,250000.0,,,,"Fitness Center/Health Club/Gym, Heated Swimming Pool",2019.0,1407.5,5.6,22622100.4,0.5349,0.4651,,,,,,0,Not Available,"The Swimming Pool property use doesn’t have any gross floor area associated with it – it should generally only be used as an add-on to an existing building, so I think the plan of classifying it as a Fitness Center/Health Club/Gym and then adding in the pool is probably the best bet, if the primary use of the building is the fitness center/gym. The tennis courts and climbing walls can be included in that Fitness Center GFA.For the Offices, if they primarily support the fitness center/gym function, they should be included in the same primary Fitness Center GFA. However, if they serve other college departments or functions, you may want to break them out separately as an Office property use. This will affect your whole-building median EUI calculation for comparison, though. I think your benchmarking and tracking plan sounds good as well – while they won’t be able to get a score, comparing themselves against the national median EUI for similar properties can be extremely useful. ",,,1407500.0,submitted,
33 Gainsborough Street,Reported,402282000,College/University,33 Gainsborough Street,2115,54000.0,,,,College/University,1956.0,214.5,4,3813751.3,0.1845,0.8155,,,,,,1.72,Not Available,,,,214500.0,submitted,
Jordan Hall,Reported,402246001,College/University,290 Huntington Ave,2115,143000.0,,,,College/University,1867.0,584.5,4.1,10284807.4,0.2184,0.7816,,,,,,3.44,Not Available,,,,584500.0,submitted,
255 St. Botolph Street SLPC,Reported,402281000,College/University,255 St. Botolph Street,2115,135000.0,,,,College/University,2017.0,595.7,4.4,9910278.4,0.418,0.5892,,,,,,5.29,Not Available,,,,595700.0,submitted,
241 St. Botolph,Reported,402281000,College/University,241 St. Botolph Street,2115,60000.0,,,,College/University,1905.0,141.6,2.4,2605255,0.718,0.9282,,,,,,1.75,Not Available,,,,141600.0,submitted,
172-The Boxer (Bulfinch) Hotel,Reported,301676000,Hotel,107 Merrimac Street,2114,41503.0,,87.0,,Hotel,2005.0,192.1,4.6,3235249.7,0.3682,0.6318,,,,,,18.19,Not Available,,,,192100.0,submitted,
255-The Envoy Hotel,Reported,602640010,Hotel,70 Sleeper Street,2110,83701.0,,76.0,,Hotel,2016.0,407.9,4.9,6447268.6,0.5965,0.435,,,,,,21.18,Not Available,,,,407900.0,submitted,
