BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),BERDO Emissions Gross Floor Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Total Site Energy Usage (kBtu),Energy Star Score,Site EUI (Energy Use Intensity kBtu/ft²),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft²),Estimated Total GHG Emissions e(kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
101279,2100202000,TRUSTEES OF BOSTON UNIVERSITY,6 Buswell St,Boston,2215.0,6 Buswell St,Boston,2215.0,25818.0,,25818.0,Multifamily Housing,Multifamily Housing (25818),1997088.5,46.0,77.4,1681058.1,89280.996,92623.2,18020.77,,,,,,,,,,,,,,,,,,,,,,31.42,107301.766,in compliance,2025.0,No,Yes,No,No,No,No,,
101280,2100205000,TRUSTEES OF BOSTON UNIVERSITY,844-844A Beacon St,Boston,2215.0,844 844A Beacon St,Boston,2215.0,20858.0,,20858.0,Multifamily Housing,Multifamily Housing (20858),1451688.3,88.0,69.6,1223980.7,65005.615,66737.3,12984.409,,,,,,,,,,,,,,,,,,,,,,63.84,77990.024,in compliance,2025.0,No,Yes,No,No,No,No,,
101281,2100233000,TRUSTEES OF BOSTON UNIVERSITY,90 Saint Mary's St,Boston,2215.0,90 St Marys St,Boston,2215.0,23107.0,,23107.0,Multifamily Housing,Multifamily Housing (23107),1863058.2,,80.6,1592041.9,84553.345,79430.3,15453.959,,,,,,,,,,,,,,,,,,,,,,42.3,100007.304,in compliance,2025.0,No,Yes,No,No,No,No,,
101282,2100281000,TRUSTEES OF BOSTON UNIVERSITY,64-70 Cummington Mall,Boston,2215.0,70  64 Cummington St,Boston,2215.0,48570.0,,48570.0,College/University,College/University (48570),1897839.8,,39.1,709546.1,37683.993,348269.0,67759.217,,,,,,,,,,,,,,,,,,,,,,4.84,105443.21,in compliance,2025.0,No,Yes,No,No,No,No,,
101284,2100288000,TRUSTEES OF BOSTON UNIVERSITY,24 Cummington Mall,Boston,2215.0,24 Cummington St,Boston,2215.0,191655.0,,191655.0,Laboratory,Laboratory (191655),55489891.0,,289.5,23257473.7,1235204.428,9446781.2,1837965.75,,,,,,,,,,,,,,,,,,,,,,25.05,3073170.178,in compliance,2025.0,No,Yes,No,Yes,No,No,,
101285,2100324000,TRUSTEES OF BOSTON UNIVERSITY,718 Commonwealth Ave,Boston,2215.0,718 Commonwealth Av,Boston,2215.0,23480.0,,23480.0,College/University,College/University (23480),1108363.9,,47.2,914967.7,48593.935,56681.2,11027.894,,,,,,,,,,,,,,,,,,,,,,23.62,59621.829,in compliance,2025.0,No,Yes,No,No,No,No,,
101286,2100329000,TRUSTEES OF BOSTON UNIVERSITY,704 Commonwealth Ave,Boston,2215.0,704 Commonwealth Av,Boston,2215.0,28467.0,,28467.0,College/University,College/University (28467),3510331.8,,123.3,1375486.3,73052.077,625687.4,121733.741,,,,,,,,,,,,,,,,,,,,,,3.64,194785.818,in compliance,2025.0,No,Yes,No,No,No,No,,
101287,2100359000,TRUSTEES OF BOSTON UNIVERSITY,226 Bay State Rd,Boston,2215.0,226 Bay State Rd,Boston,2215.0,18332.0,,18332.0,College/University,College/University (18332),463468.5,,25.3,,,135834.8,26428.019,,,,,,,,,,,,,,,,,,,,,,2.55,26428.019,in compliance,2025.0,No,Yes,No,No,No,No,C10111,"This building is reported as part of a campus in Energy Star Portfolio Manager, so this row may not reflect the full building’s energy and water use. See the Campus ID at the bottom of the spreadsheet for total campus usage."
101288,2100399000,TRUSTEES OF BOSTON UNIVERSITY,881 Commonwealth Ave,Boston,2215.0,881 Commonwealth Av,Boston,2215.0,110206.0,,110206.0,Office,"Office (94301),Medical Office (15905)",5302662.8,75.0,48.1,164051.6,8712.78,1506040.8,293015.298,,,,,,,,,,,,,,,,,,,,,,14.85,301728.078,in compliance,2025.0,No,Yes,No,Yes,No,No,C10097,"This building is reported as part of a campus in Energy Star Portfolio Manager, so this row may not reflect the full building’s energy and water use. See the Campus ID at the bottom of the spreadsheet for total campus usage."
101289,2100409000,TRUSTEES OF BOSTON UNIVERSITY,983-985 Commonwealth Ave,Boston,2215.0,983  985 Commonwealth Av,Boston,2215.0,36843.0,,36843.0,Office,Office (36843),2171832.7,45.0,58.9,,,636256.2,123790.006,,,,,,,,,,,,,,,,,,,,,,2.95,123790.006,in compliance,2025.0,No,Yes,No,Yes,No,No,C10097,"This building is reported as part of a campus in Energy Star Portfolio Manager, so this row may not reflect the full building’s energy and water use. See the Campus ID at the bottom of the spreadsheet for total campus usage."
101290,504140000,TRUSTEES OF BOSTON UNIVERSITY,580 Commonwealth Ave,Boston,2215.0,580 Commonwealth Av,Boston,2215.0,124795.0,,124795.0,Multifamily Housing,Multifamily Housing (124795),9180920.1,54.0,73.6,4289514.6,227816.12,1433589.0,278919.076,,,,,,,,,,,,,,,,,,,,,,52.5,506735.196,in compliance,2025.0,No,Yes,No,Yes,No,No,,
101292,503743000,TRUSTEES OF BOSTON UNIVERSITY,91 Bay State Rd,Boston,2215.0,91 Bay State Rd,Boston,2215.0,114140.0,,114140.0,Residence Hall/Dormitory,Residence Hall/Dormitory (114140),8711969.2,59.0,76.3,5821022.5,309154.505,847288.0,164848.353,,,,,,,,,,,,,,,,,,,,,,31.88,474002.858,in compliance,2025.0,No,Yes,No,Yes,No,No,,
101293,2100286000,TRUSTEES OF BOSTON UNIVERSITY,,Boston,2215.0,44 Cummington St,Boston,2215.0,101337.0,,101337.0,Laboratory,Laboratory (101337),16408485.0,,161.9,6334634.5,336432.438,2952476.7,574433.867,,,,,,,,,,,,,,,,,,,,,,9.0,910866.305,in compliance,2025.0,No,Yes,No,Yes,No,No,,
101294,302811000,BOSTON VIEW CORP DEL CORP,130-140 Bowdoin St,Boston,2108.0,140  130 Bowdoin St,Boston,2108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not submitted,2025.0,,,,,,,,
101296,201834050,BOSTON WATER & SEWER COMMISSION,180 Alford St,Boston,2129.0,Alford St,Boston,2129.0,71820.0,,71820.0,Office,Office (71820),849111.2,100.0,11.8,286641.9,15223.551,164850.3,32073.274,,,,,,,,,,,,,,,,,,,,,,1.8,47296.825,in compliance,2025.0,No,No,No,Yes,No,No,,
101297,801093010,BOSTON WATER & SEWER,120 Malden St,Boston,2118.0,120 Malden St,Boston,2118.0,88481.0,,88481.0,Other - Utility,Other - Utility (88481),12338041.3,,139.4,8173796.6,434110.337,1220470.3,237454.702,,,,,,,,,,,,,,,,,,,,,,41.21,671565.039,in compliance,2025.0,No,No,No,Yes,No,No,,
101299,801984010,BOSTON WATER & SEWER,980 Harrison Ave,Boston,2119.0,924  980 Harrison Av,Boston,2119.0,522465.0,43560.0,566025.0,Office,"Office (522465),Parking (261360)",14661045.2,97.0,28.1,3386680.5,179866.601,3304327.3,642889.919,,,,,,,,,,,,,,,,,,,,,,3.22,822756.52,in compliance,2025.0,No,No,No,Yes,No,Yes,,
101300,1704614001,BOSTON Y M C A,776 Washington St,Boston,2124.0,776 Washington St,Boston,2124.0,29491.0,,29491.0,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym (29491),4640200.5,,157.3,3147605.9,167169.349,437454.5,85111.148,,,,,,,,,,,,,,,,,,,,,,44.43,252280.497,in compliance,2025.0,No,No,No,No,No,No,,
101301,700074020,BOSTON-SOUTHAMPTON LLC,290 Southampton St,Boston,2127.0,290 Southampton St,Boston,2127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not submitted,2025.0,,,,,,,,
101302,1603954000,BOSTONIAN FOUNDATION INC,337 Neponset Ave,Boston,2122.0,337 Neponset Av,Boston,2122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not submitted,2025.0,,,,,,,,
