BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft²),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Compliance Status,BERDO Reporting Status,Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID,Notes,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
105605,2100469000,sanieoff sieon,1027-1033 commonwealth ave,boston,2134,1027  1033 commonwealth av,boston,2134.0,43929.0,,Multifamily Housing,"Multifamily Housing, Restaurant",75.5,,3317969.9,1732618.2,1585351.7,,,,,,,,,,,,67.24,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
105606,2100471000,sanieoff sieon,1039-1045 commonwealth ave,boston,2134,1039  1045 commonwealth av,boston,2134.0,36796.0,,Multifamily Housing,"Multifamily Housing, Retail Store",47.4,96,1744053.3,1258866.9,485186.4,,,,,,,,,,,,24.04,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
106104,1808983000,the northeastern conference,6 webster st,boston,2136,1131 river st,boston,2136.0,24864.0,0,Worship Facility,,51.1,52,1269603.8,1202286.7,67317.1,,,,,,,,,,,,3.28,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
107066,801273000,boston university trst of,615 albany st,boston,2118,615 albany st,boston,2118.0,20124.0,,College/University,College/University,27.0,,543638.4,,543638.4,,,,,,0,,,,,,0.0,in compliance,7 - berdo accepted,No,Yes,No,No,No,No,,,,in compliance,
102624,1404198000,danube apartments llc,829 blue hill avenue,boston,2124,825  829 blue hill av,boston,2124.0,20025.0,,Multifamily Housing,Multifamily Housing,65.0,,1301898.4,1170959.5,130938.9,,,,,,,,,,,,27.95,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
106589,2011737000,village grove condo assn inc,287-321 grove st,boston,2132,287  321 grove st,boston,2132.0,8700.0,,Multifamily Housing,Multifamily Housing,22.1,,191969.3,,191969.4,,,,,,,,,,,,18.61,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
106017,303020000,sunstone wharf llc,296 state street,boston,2109,296 state st,boston,2109.0,260800.0,,Hotel,Hotel,89.9,44,23433503.0,7240799.6,16192703.7,,,,,,,,,,,,38.94,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
103355,301592000,greater boston legal service,32-38 anthony rip valenti way,boston,2114,32  38 anthony r valenti wy,boston,2114.0,50400.0,,Office,Office,48.4,83,2441103.5,741600,1699503.6,,,,,,,,,,,,3.48,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,No,,,,in compliance,
104081,401038000,lenox hotel llc mass llc,704-712 boylston street,boston,2116,704  712 boylston st,boston,2116.0,129636.0,,Hotel,"Hotel,Restaurant",58.4,73,7570586.8,,7570586.5,,,,,,,,,,,,48.4,in compliance,7 - berdo accepted,I'm not sure,No,No,Yes,No,Yes,,,,in compliance,
106018,601894000,superior realty co inc,468-470 west broadway,boston,2127,468  470 w broadway,boston,2127.0,21608.0,,Strip Mall,Strip Mall,31.5,,680063.5,228400,451663.5,,,,,,,,,,,,0.06,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
